id,cgender,cage,ceducation,cincome,cincomefromfarming,clandarea
6930456202,Other/Prefer not to say,50-70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres
6930330199,Male,30-50,Some college but no 4-year degree,"$25,000 - $99,999",50%-75%,100 to 500 acres
6930202534,Female,30-50,"B.A., B.S., or equivalent","$25,000 - $99,999",75%-100%,1 to 100 acres
6930096244,,,,,75%-100%,"1,000 acres or more"
6930079051,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6929947545,Female,Over 70,Some college but no 4-year degree,"$1 -$24,999",75%-100%,100 to 500 acres
6929858535,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,100 to 500 acres
6929566355,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",1%-25%,100 to 500 acres
6929551675,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,100 to 500 acres
6929344611,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6929143264,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6928839973,,,,,50%-75%,100 to 500 acres
6928802489,Male,Over 70,High school diploma,"$1 -$24,999",75%-100%,"500 to 1,000 acres"
6928795921,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",1%-25%,100 to 500 acres
6928735471,,,,,50%-75%,100 to 500 acres
6928713560,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",50%-75%,"500 to 1,000 acres"
6928704976,Male,Over 70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,100 to 500 acres
6928541618,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",50%-75%,100 to 500 acres
6928526475,,,,,75%-100%,100 to 500 acres
6928506433,,,,,25%-50%,1 to 100 acres
6928504611,Female,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,100 to 500 acres
6928482714,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",50%-75%,100 to 500 acres
6928473662,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,1 to 100 acres
6928311009,Male,30-50,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,"1,000 acres or more"
6928285300,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,100 to 500 acres
6928282907,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6928248814,Other/Prefer not to say,Over 70,High school diploma,None,25%-50%,100 to 500 acres
6928220423,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres"
6928200982,Male,Over 70,"B.A., B.S., or equivalent","$500,000 to $999,999",50%-75%,"1,000 acres or more"
6928197304,Male,50-70,Some college but no 4-year degree,"$1,000,000 and over",75%-100%,"500 to 1,000 acres"
6928055902,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,1 to 100 acres
6928055608,Other/Prefer not to say,50-70,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,"1,000 acres or more"
6928052617,Other/Prefer not to say,50-70,High school diploma,,75%-100%,100 to 500 acres
6928043253,,,,,75%-100%,100 to 500 acres
6928029902,Male,50-70,Some college but no 4-year degree,None,0,100 to 500 acres
6928014492,,,,,25%-50%,1 to 100 acres
6927954841,,,,,,1 to 100 acres
6927954250,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6927948667,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,100 to 500 acres
6927942980,Male,50-70,Graduate degree,"$1,000,000 and over",75%-100%,"500 to 1,000 acres"
6927914142,,Over 70,High school diploma,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6927913113,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,100 to 500 acres
6927899941,,,,,75%-100%,"1,000 acres or more"
6927866573,Male,50-70,Some college but no 4-year degree,None,0,1 to 100 acres
6927857741,Female,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,100 to 500 acres
6927775381,,,,,1%-25%,1 to 100 acres
6927608649,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,100 to 500 acres
6927564241,,,,,50%-75%,100 to 500 acres
6927545653,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,100 to 500 acres
6927471449,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6927238205,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",25%-50%,100 to 500 acres
6927085272,Female,30-50,Some college but no 4-year degree,"$1 -$24,999",0,100 to 500 acres
6926902789,Male,Over 70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres
6926883676,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,1 to 100 acres
6926684241,Male,50-70,"B.A., B.S., or equivalent",,75%-100%,"1,000 acres or more"
6926133812,Male,50-70,Some college but no 4-year degree,"$1,000,000 and over",50%-75%,"500 to 1,000 acres"
6925691377,Female,50-70,Some college but no 4-year degree,"$100,000 - $249,999",0,"500 to 1,000 acres"
6925479410,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",75%-100%,1 to 100 acres
6925475963,,,,,25%-50%,100 to 500 acres
6925475627,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,100 to 500 acres
6925411481,Male,50-70,Graduate degree,"$250,000 - $499,999",1%-25%,"1,000 acres or more"
6925391133,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6925351988,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6925276018,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6925148928,,,,,,I do not own any land
6925117930,,,,,50%-75%,"500 to 1,000 acres"
6925112112,Male,30-50,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,"1,000 acres or more"
6925090735,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres
6925029626,Male,Over 70,"B.A., B.S., or equivalent","$1 -$24,999",0,1 to 100 acres
6924889661,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6924789209,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,100 to 500 acres
6924648234,,,,,75%-100%,100 to 500 acres
6924604682,Male,Over 70,Graduate degree,"$1 -$24,999",25%-50%,1 to 100 acres
6924597547,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6924548198,Female,30-50,"B.A., B.S., or equivalent","$1 -$24,999",50%-75%,1 to 100 acres
6924513479,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,100 to 500 acres
6924372074,Male,30-50,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,100 to 500 acres
6924359661,Female,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",75%-100%,100 to 500 acres
6924334238,Other/Prefer not to say,Over 70,"B.A., B.S., or equivalent","$25,000 - $99,999",50%-75%,100 to 500 acres
6924333898,,,,,50%-75%,100 to 500 acres
6924327658,,,,,75%-100%,100 to 500 acres
6924319094,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",50%-75%,1 to 100 acres
6924303569,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",1%-25%,100 to 500 acres
6924255499,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,100 to 500 acres
6924252974,Other/Prefer not to say,Over 70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres
6924251283,,,,,75%-100%,100 to 500 acres
6924246168,,,,,75%-100%,"1,000 acres or more"
6924239246,Male,Over 70,High school diploma,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres"
6924231184,Male,50-70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres
6924226818,Male,Over 70,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,100 to 500 acres
6924224030,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",1%-25%,100 to 500 acres
6924223908,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6924215880,,,,,75%-100%,100 to 500 acres
6924211132,Female,30-50,"B.A., B.S., or equivalent","$25,000 - $99,999",25%-50%,"1,000 acres or more"
6924209904,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,100 to 500 acres
6924194655,,,,,75%-100%,100 to 500 acres
6924101928,Male,30-50,Graduate degree,"$100,000 - $249,999",1%-25%,100 to 500 acres
6924100619,,,,,75%-100%,"500 to 1,000 acres"
6924088968,,,,,50%-75%,"500 to 1,000 acres"
6924079621,Male,Over 70,High school diploma,"$1 -$24,999",25%-50%,100 to 500 acres
6924077360,Male,50-70,Graduate degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6924077001,,,,,25%-50%,100 to 500 acres
6924072627,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6924068010,,,,,50%-75%,100 to 500 acres
6924044928,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"1,000 acres or more"
6924025722,Male,30-50,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,100 to 500 acres
6924025410,,,,,75%-100%,100 to 500 acres
6924025148,,,,,75%-100%,100 to 500 acres
6923978329,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",50%-75%,"500 to 1,000 acres"
6923974560,Male,Over 70,High school diploma,"$25,000 - $99,999",0,100 to 500 acres
6923965588,,,,,75%-100%,"500 to 1,000 acres"
6923951616,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",1%-25%,100 to 500 acres
6923932384,,,,,75%-100%,"500 to 1,000 acres"
6923929952,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"1,000 acres or more"
6923929001,,,,,0,I do not own any land
6923914852,Male,Over 70,,"$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6923909650,,,,,50%-75%,100 to 500 acres
6923898758,Male,50-70,"B.A., B.S., or equivalent","$1 -$24,999",1%-25%,"500 to 1,000 acres"
6923852238,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6923844220,Male,50-70,"B.A., B.S., or equivalent",,50%-75%,"500 to 1,000 acres"
6923841359,Female,Over 70,Some college but no 4-year degree,None,0,1 to 100 acres
6923831732,Male,50-70,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,100 to 500 acres
6923662174,Male,50-70,Some college but no 4-year degree,"$1,000,000 and over",50%-75%,100 to 500 acres
6923650451,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres
6923571354,Male,50-70,Some college but no 4-year degree,"$1,000,000 and over",75%-100%,"500 to 1,000 acres"
6923512631,Male,Over 70,"B.A., B.S., or equivalent","$500,000 to $999,999",50%-75%,100 to 500 acres
6923443435,Male,Over 70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,"1,000 acres or more"
6923432743,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,1 to 100 acres
6923419162,,,,,75%-100%,1 to 100 acres
6922251457,Male,50-70,High school diploma,,50%-75%,1 to 100 acres
